Unnamed: 0,Latitude,Longitude,School Name,School Address,School Rating,zipcode
0,30.197589,-97.828106,Cowan Elementary School,"2817 Kentish Drive, Austin, TX  78748",9.0,78704
1,30.418453999999997,-97.69619,Parmer Lane Elementary School,"1806 Parmer Lane, Austin, TX  78727",7.0,78620
2,30.341186999999998,-97.984049,Bee Cave Elementary School,"3322 Ranch Road 620 South, Austin, TX  78738",8.0,78660
3,30.460440999999996,-97.76111800000001,Live Oak Elementary School,"8607 Anderson Mill Road, Austin, TX  78729",6.0,78660
4,30.374096,-97.77525899999999,Doss Elementary School,"7005 Northledge Drive, Austin, TX  78731",9.0,78759
5,30.082419,-97.664366,Creedmoor Elementary School,"5604 Farm to Market Road 1327, Austin, TX  78747",3.0,78748
6,30.360266999999997,-97.998646,Bee Cave Elementary School,"3322 Ranch Road 620 South, Austin, TX  78738",8.0,78621
8,30.340507000000002,-97.734626,Brentwood Elementary School,"6700 Arroyo Seco, Austin, TX  78757",7.0,78613
9,30.22287,-97.566622,Oak Meadows Elementary School,"5600 Decker Creek Cove, Manor, TX  78653",2.0,78734
10,30.282596999999996,-97.759718,Mathews Elementary School,"906 West Lynn Street, Austin, TX  78703",8.0,78734
12,30.520885999999997,-97.790929,Ronald Reagan Elementary School,"1700 East Park Street, Cedar Park, TX  78613",8.0,78620
13,30.167892,-97.827473,Kocurek Elementary School,"9800 Curlew Drive, Austin, TX  78748",4.0,78613
14,30.201895,-97.936138,Baldwin Elementary School,"12200 Meridian Park Boulevard, Austin, TX  78739",8.0,78724
15,30.150896000000003,-97.857849,Baranoff Elementary School,"12009 Buckingham Gate Road, Austin, TX  78748",9.0,78660
16,30.242114,-97.77598,Zilker Elementary School,"1900 Bluebonnet Lane, Austin, TX  78704",7.0,78612
18,30.248604999999998,-97.550027,Oak Meadows Elementary School,"5600 Decker Creek Cove, Manor, TX  78653",2.0,78738
19,30.482014000000003,-97.59214899999999,Murchison Elementary School,"2215 Kelly Lane, Pflugerville, TX  78660",8.0,78750
20,30.363135999999997,-97.908427,Laura Welch Bush Elementary School,"12600 Country Trails Lane, Austin, TX  78732",10.0,78748
21,30.526466999999997,-97.642224,Double File Trail Elementary School,"2400 Chandler Creek Boulevard, Round Rock, TX  78665",5.0,78748
22,30.280848,-97.75575400000001,Mathews Elementary School,"906 West Lynn Street, Austin, TX  78703",8.0,78734
23,30.428063,-97.800195,Spicewood Elementary School,"11601 Olson Drive, Austin, TX  78750",10.0,78756
24,30.416679,-97.757561,Kathy Caraway Elementary School,"11104 Oak View Drive, Austin, TX  78759",8.0,78612
27,30.304669,-97.80414300000001,Eanes Elementary School,"4101 Bee Cave Road, West Lake Hills, TX  78746",10.0,78613
28,30.272878000000002,-97.465506,Blake Manor Elementary School,"18010 Blake Manor Road, Manor, TX  78653",4.0,78660
29,30.325965999999998,-97.994969,Bee Cave Elementary School,"3322 Ranch Road 620 South, Austin, TX  78738",8.0,78612
30,30.433343,-97.80579300000001,Spicewood Elementary School,"11601 Olson Drive, Austin, TX  78750",10.0,78745
31,30.196212,-97.74934300000001,Rodriguez Elementary School,"4400 Franklin Park Drive, Austin, TX  78744",2.0,78753
34,30.141370000000002,-97.60564699999999,Del Valle Elementary School,"5400 Ross Road, Travis County, TX  78617",3.0,78681
36,30.424702000000003,-97.761513,Kathy Caraway Elementary School,"11104 Oak View Drive, Austin, TX  78759",8.0,78749
37,30.242031,-98.013379,Dripping Springs Elementary School,"29400 Ranch Rd 12, Dripping Springs, TX 78620",7.0,78745
38,30.043481,-97.731288,Camino Real Elementary School,"170 Las Brisas Boulevard, Niederwald, TX  78640",3.0,78758
39,30.358221,-97.54413100000001,Shadowglen Elementary School,"12000 Shadowglen Trace, Manor, TX 78653",5.0,78749
40,30.353855,-97.901546,Laura Welch Bush Elementary School,"12600 Country Trails Lane, Austin, TX  78732",10.0,78704
42,30.228595000000002,-97.944544,Clayton Elementary School,"7525 La Crosse Avenue, Austin, TX  78739",10.0,78734
43,30.491376000000002,-97.57997900000001,Dearing Elementary School,"4301 Gattis School Rd, Pflugerville, TX 78660",5.0,78749
44,30.434561,-97.797364,Spicewood Elementary School,"11601 Olson Drive, Austin, TX  78750",10.0,78738
45,30.317802,-97.785319,Casis Elementary School,"2710 Exposition Boulevard, Austin, TX  78703",10.0,78704
47,30.296453999999997,-97.917115,Barton Creek Elementary School,"1370 Patterson Road, Austin, TX  78733",10.0,78750
48,30.151836,-97.737882,Palm Elementary School,"7601 Dixie Drive, Austin, TX  78744",6.0,78660
52,30.321213,-97.678712,Andrews Elementary School,"6801 Northeast Drive, Austin, TX  78723",4.0,78749
53,30.116677000000003,-97.886274,Carpenter Hill Elementary School,"4410 RR 967, Buda, TX  78610",7.0,78749
54,30.079141999999997,-97.839185,Buda Elementary School,"300 N San Marcos St, Buda, TX 78610",6.0,78756
55,30.222492,-97.93370999999999,Clayton Elementary School,"7525 La Crosse Avenue, Austin, TX  78739",10.0,78640
56,30.375562,-97.902388,Laura Welch Bush Elementary School,"12600 Country Trails Lane, Austin, TX  78732",10.0,78621
57,30.472109999999997,-97.855542,Deer Creek Elementary School,"2420 Zeppelin Drive, Cedar Park, TX  78613",9.0,78613
58,30.380431,-97.522848,Shadowglen Elementary School,"12000 Shadowglen Trace, Manor, TX 78653",5.0,78750
59,30.484543,-97.795501,Rutledge Elementary School,"11501 Staked Plains Drive, Austin, TX  78717",9.0,78738
61,30.388275,-97.503637,Shadowglen Elementary School,"12000 Shadowglen Trace, Manor, TX 78653",5.0,78641
62,30.415177000000003,-97.722098,Summitt Elementary School,"12207 Brigadoon Lane, Austin, TX  78727",8.0,78753
63,30.314017,-97.896431,Barton Creek Elementary School,"1370 Patterson Road, Austin, TX  78733",10.0,78749
64,30.407528000000003,-97.536172,Shadowglen Elementary School,"12000 Shadowglen Trace, Manor, TX 78653",5.0,78750
65,30.203132,-97.85215,Boone Elementary School,"8101 Croftwood Drive, Austin, TX  78749",8.0,78613
66,30.105269,-97.679548,Creedmoor Elementary School,"5604 Farm to Market Road 1327, Austin, TX  78747",3.0,78759
67,30.460506,-97.64203,Windermere Elementary School,"1101 Picadilly Drive, Pflugerville, TX  78660",7.0,78617
68,30.330992,-97.97825,Bee Cave Elementary School,"3322 Ranch Road 620 South, Austin, TX  78738",8.0,78748
69,30.377924,-97.70218299999999,Cook Elementary School,"1511 Cripple Creek Drive, Austin, TX  78758",5.0,78756
70,30.483423,-97.88279399999999,Deer Creek Elementary School,"2420 Zeppelin Drive, Cedar Park, TX  78613",9.0,78729
71,30.406633000000003,-97.695707,River Oaks Elementary School,"12401 Scofield Farms Drive, Austin, TX  78758",5.0,78753
72,30.188366,-97.79844,Williams Elementary School,"500 Mairo Street, Austin, TX  78748",4.0,78746
74,30.490701,-97.705277,Deep Wood Elementary School,"705 Saint Williams Avenue, Round Rock, TX  78681",6.0,78738
75,30.233019,-97.89403399999999,Mills Elementary School,"6201 Davis Lane, Austin, TX  78749",9.0,78745
76,30.199178999999997,-97.803962,Cunningham Elementary School,"2200 Berkeley Avenue, Austin, TX  78745",2.0,78749
77,30.361849,-97.54993,Shadowglen Elementary School,"12000 Shadowglen Trace, Manor, TX 78653",5.0,78748
78,30.379641999999997,-97.757069,Hill Elementary School,"8601 Tallwood Drive, Austin, TX  78759",8.0,78750
80,30.063327,-97.714443,Creedmoor Elementary School,"5604 Farm to Market Road 1327, Austin, TX  78747",3.0,78745
81,30.423237,-97.64125899999999,Wieland Elementary School,"900 Tudor House Road, Pflugerville, TX  78660",4.0,78759
83,30.439805,-97.676659,Northwest Elementary School,"14014 Thermal Drive, Austin, TX  78728",3.0,78738
84,30.247939000000002,-97.991176,Bee Cave Elementary School,"3322 Ranch Road 620 South, Austin, TX  78738",8.0,78753
85,30.138627000000003,-97.725617,Hillcrest Elementary School,"6910 East William Cannon Drive, Austin, TX  78744",2.0,78748
87,30.346984000000003,-97.465034,Neidig Elementary School,"13700 County Line Road, Elgin, TX  78621",2.0,78613
88,30.340269,-97.607802,Bluebonnet Trail Elementary School,"11316 Farmhaven Road, Austin, TX  78754",6.0,78704
90,30.372079,-97.87796,Steiner Ranch Elementary School,"4001 North Quinlan Park Road, Austin, TX  78732",9.0,78750
91,30.368716999999997,-97.960113,Lago Vista Elementary School,"20311 Dawn Dr, Lago Vista, TX 78645",7.0,78749
92,30.36624,-97.670015,Graham Elementary School,"11211 Tom Adams Drive, Austin, TX  78753",8.0,78759
95,30.45174,-97.76841,Live Oak Elementary School,"8607 Anderson Mill Road, Austin, TX  78729",6.0,78621
98,30.09334,-97.682424,Creedmoor Elementary School,"5604 Farm to Market Road 1327, Austin, TX  78747",3.0,78750
99,30.335784000000004,-97.963851,Lakeway Elementary School,"3322 Ranch Road 620 South, Austin, TX  78738",9.0,78750
100,30.413898,-97.757756,Kathy Caraway Elementary School,"11104 Oak View Drive, Austin, TX  78759",8.0,78758
104,30.419921000000002,-97.755832,Kathy Caraway Elementary School,"11104 Oak View Drive, Austin, TX  78759",8.0,78681
105,30.341565999999997,-97.90929,River Ridge Elementary School,"12900 Tierra Grande Trail, Austin, TX  78732",10.0,78749
106,30.438328000000002,-97.81044200000001,Spicewood Elementary School,"11601 Olson Drive, Austin, TX  78750",10.0,78759
107,30.116346000000004,-97.67958,Creedmoor Elementary School,"5604 Farm to Market Road 1327, Austin, TX  78747",3.0,78753
108,30.132658000000003,-97.593266,Del Valle Elementary School,"5400 Ross Road, Travis County, TX  78617",3.0,78660
109,30.325121999999997,-97.528921,Blake Manor Elementary School,"18010 Blake Manor Road, Manor, TX  78653",4.0,78748
111,30.29937,-97.640539,Overton Elementary School,"7201 Colony Loop Drive, Austin, TX  78724",4.0,78704
